tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle
tt0426192,7,nm2102895,actress,La femme de chambre petit-déjeuner,5.0,207,nm0897674,"nm0693798,nm0897674",movie,Riviera,0.0,2005.0,94.0,Drama,2000.0,Geraldinha de Brilo,,,actress,tt0426192,Riviera,FR,fr,0
tt0426192,8,nm1782757,actor,Le chef du personnel,5.0,207,nm0897674,"nm0693798,nm0897674",movie,Riviera,0.0,2005.0,94.0,Drama,2000.0,Stéphane Mélis,,,actor,"tt0814759,tt0426192,tt9162090,tt0169505",Riviera,FR,fr,0
tt0426192,9,nm2100311,actress,La fille jalouse,5.0,207,nm0897674,"nm0693798,nm0897674",movie,Riviera,0.0,2005.0,94.0,Drama,2000.0,Aymeline Valade,1984.0,,actress,"tt2239822,tt4176556,tt2707848,tt0426192",Riviera,FR,fr,0
tt0426192,10,nm2102034,actor,Le garçon au portable,5.0,207,nm0897674,"nm0693798,nm0897674",movie,Riviera,0.0,2005.0,94.0,Drama,2000.0,Jérémy Lopez,,,actor,"tt14542254,tt14017122,tt30192483,tt2545186",Riviera,FR,fr,0
tt0143861,3,nm1957258,self,Self - The Allies,7.8,2908,nm0695629,,movie,Scratch,0.0,2001.0,92.0,"Documentary,Music",2000.0,Craze,,,director,"tt11290816,tt0464783,tt0143861,tt1813497",Scratch,FR,fr,0
tt0270918,1,nm0125005,actress,Faran Sabistan Crenshaw,6.4,148,nm0784769,"nm0378147,nm0784769",movie,All You Need,0.0,2001.0,105.0,Drama,2000.0,Kayren Butler,1974.0,,actress,"tt0411008,tt0183678,tt0418647,tt0313717",Une famille encombrante,FR,fr,0
tt0270918,10,nm1138880,actor,Dylan Rampley,6.4,148,nm0784769,"nm0378147,nm0784769",movie,All You Need,0.0,2001.0,105.0,Drama,2000.0,Dylan Cash,1994.0,,actor,"tt0056758,tt1090674,tt0851851,tt1771072",Une famille encombrante,FR,fr,0
tt0281358,9,nm0430036,actor,Walker,7.3,222414,nm0788202,"nm0817023,nm0418321",movie,A Walk to Remember,0.0,2002.0,101.0,"Drama,Romance",2000.0,Jonathan Parks Jordan,1979.0,,actor,"tt0281358,tt0332280,tt0162462,tt0118300",Le temps d'un automne,FR,fr,0
tt0144608,15,nm2154927,writer,unknown,4.5,709,"nm0414312,nm0725572","nm0938787,nm2154927,nm0514880",movie,Sinbad: Beyond the Veil of Mists,0.0,2000.0,85.0,"Action,Adventure,Animation",2000.0,Gregory Davis,,,writer,"tt5639446,tt1305619,tt0144608,tt0768831",Sinbad La Légende du Royaume Interdit,FR,fr,0
tt0241802,5,nm0774095,actress,Markéta,6.8,165,nm0904605,nm0904605,movie,Paralelní svety,0.0,2001.0,100.0,Drama,2000.0,Jitka Schneiderová,1973.0,,actress,"tt1734579,tt0145008,tt0806910,tt0175709",Les mondes parallèles,FR,fr,0
tt0241802,3,nm0804824,actress,Renata,6.8,165,nm0904605,nm0904605,movie,Paralelní svety,0.0,2001.0,100.0,Drama,2000.0,Gabriela Skrabáková,1970.0,,actress,"tt0806910,tt0104280,tt14901292,tt0241802",Les mondes parallèles,FR,fr,0
